user_id,following
3,"[5314,33,31,12411,4231,13199,23932,21318,4298,11535,21]"
5,"[4,7670]"
6,[4]
9,"[32,21,33,42,669,40,2751,2977,34,3316]"
10,"[4,21]"
11,[3881]
12,"[32,669]"
13,[4]
19,"[34,37,30,669]"
20,"[669,34,36,2751,30,32,26297]"
21,"[32,40,33,30,2751,4231,28863]"
22,"[34,669,32]"
25,"[30,21318,19023,22670,36]"
26,"[44,2977,30,2751,4298,32,14260,19023,13199,34,22670,3316,21,38]"
30,[30]
32,"[2977,3988,7670,4155,46,4231,19023,19241,12411,3316,34,1541,46961,4298,30,47467,40117,41618,40525,49014,49009,48407,48934,9941,37512,49550]"
35,[21]
39,"[2751,21,3316,34,19241]"
41,[41]
42,[21]
43,"[30,21,32,34,669]"
44,[32]
45,"[3316,12411]"
46,"[4231,46,2751,21,5,9031,28863]"
50,[32]
51,[37]
52,[2751]
55,[30]
59,[34]
60,[32]
61,"[20966,2751]"
65,"[32,669]"
68,"[34,32]"
72,"[30,21,40,34,49,36,33,38,42,31]"
74,[21]
75,"[40,31,32,42,30,21,2751,669]"
77,"[42,32]"
78,[34]
81,[34]
82,"[30,32,34]"
83,[34]
86,[40]
87,[30]
88,"[37,32]"
91,[34]
92,[40]
93,[30]
96,[49]
99,[49]
100,[41]
103,[21]
108,[30]
109,[32]
114,"[21,42]"
118,[669]
121,[41]
124,"[41,32,30]"
126,[34]
127,[37]
128,[32]
129,[41]
135,"[41,145,2977,669]"
136,"[19023,3013,136,32]"
137,[34]
141,[36]
147,"[2751,8334]"
151,"[23932,22670,30]"
153,[21]
158,"[38,49]"
160,[2751]
162,"[669,34,8334]"
165,[34]
166,[3316]
167,"[34,669]"
170,[34]
172,"[34,30,36,41]"
173,[34]
177,[34]
179,[34]
181,[34]
183,"[18544,21489,32,2751,30,42208]"
184,[40]
185,"[34,32]"
187,[34]
189,[49]
192,[42]
194,[2751]
197,[32]
200,[34]
201,[34]
202,"[34,669,42,2977,19023,8334]"
203,"[10,21]"
205,[32]
207,[34]
212,[36]
213,[40]
219,[3343]
221,"[4129,41]"
222,[2977]
226,[41]
230,[19023]
232,"[21,2751,4155,32,8392]"
244,"[34,42,32]"
251,[34]
254,[32]
256,[30]
259,"[34,2751,2977,23932]"
269,[32]
271,[30]
272,[2977]
273,[34]
275,[31]
276,[30]
279,"[41,32]"
280,"[30,32]"
282,"[32,34]"
284,[21]
288,[22670]
289,[32]
291,[32]
292,"[30,21,32,34]"
293,"[34,7670,669]"
305,"[30,3881]"
311,[34]
320,[21]
323,"[30,2751]"
325,"[41,21]"
330,[12770]
332,"[40,19023]"
336,[34]
337,"[34,31]"
338,"[30,235,32]"
